WKT,OBJECTID,AncillaryR,Enabled
"POINT (-93.275448487137595 44.945076729122981)",232,0,1
"POINT (-93.275445362764373 44.944050977494378)",233,0,1
"POINT (-93.255038919647887 44.957465649099618)",234,0,1
"POINT (-93.25509782821095 44.955469275510218)",235,0,1
"POINT (-93.254912857454087 44.954636236053965)",236,0,1
"POINT (-93.254917644190854 44.953812350352337)",237,0,1
"POINT (-93.254957539489567 44.949979473442127)",238,0,1
"POINT (-93.274131395048187 44.955420102366965)",239,0,1
"POINT (-93.273951418926515 44.9536848648995)",240,0,1
"POINT (-93.27414686965912 44.952906244000388)",241,0,1
"POINT (-93.254937666895685 44.944829349458686)",242,0,1
"POINT (-93.255025110021833 44.942111227554754)",243,0,1
"POINT (-93.255013191796436 44.937836812061114)",244,0,1
"POINT (-93.27401629830338 44.945075956889667)",245,0,1
"POINT (-93.25376938581293 44.957446295960125)",246,0,1
"POINT (-93.253784095108841 44.955647940985955)",247,0,1
"POINT (-93.253590881363095 44.955473566417368)",248,0,1
"POINT (-93.253797563588847 44.953831826472225)",249,0,1
"POINT (-93.253815448988533 44.944817818621026)",250,0,1
"POINT (-93.253802909504486 44.943004425774717)",251,0,1
"POINT (-93.272864926126459 44.95381917636039)",252,0,1
"POINT (-93.272661114582817 44.953681272137601)",253,0,1
"POINT (-93.272918332306332 44.951610296547308)",254,0,1
"POINT (-93.25250473586128 44.957458064763252)",255,0,1
"POINT (-93.252506196094231 44.956446024241785)",256,0,1
"POINT (-93.252529007363293 44.955644986601904)",257,0,1
"POINT (-93.272978942856369 44.950026408294512)",258,0,1
"POINT (-93.272903257451162 44.949261225095448)",259,0,1
"POINT (-93.252553978420664 44.953817833094107)",260,0,1
"POINT (-93.252567711766289 44.952849801929631)",261,0,1
"POINT (-93.272934770614711 44.948465478432624)",262,0,1
"POINT (-93.272685878998161 44.948439217697761)",263,0,1
"POINT (-93.272897416540232 44.94508253116755)",264,0,1
"POINT (-93.272874591606964 44.942332892898825)",265,0,1
"POINT (-93.27287369549417 44.9404541776386)",266,0,1
"POINT (-93.272859230271322 44.93964032269146)",267,0,1
"POINT (-93.272842813089596 44.938705122564627)",268,0,1
"POINT (-93.272830579956917 44.937877272188459)",269,0,1
"POINT (-93.271360128866363 44.957263706554592)",270,0,1
"POINT (-93.271561515484649 44.955623701045766)",271,0,1
"POINT (-93.271622321438088 44.954895733056354)",272,0,1
"POINT (-93.252584615193229 44.949486497294153)",273,0,1
"POINT (-93.271435221466632 44.948442992695909)",274,0,1
"POINT (-93.271650781077341 44.948242385765006)",275,0,1
"POINT (-93.252558711526078 44.942993991088493)",276,0,1
"POINT (-93.271612959086397 44.945080643446609)",277,0,1
"POINT (-93.271596820944538 44.943252625181032)",278,0,1
"POINT (-93.271385942686607 44.943114434349241)",279,0,1
"POINT (-93.252510952992168 44.937827268821643)",280,0,1
"POINT (-93.271561956921232 44.941478886746687)",281,0,1
"POINT (-93.251197810961088 44.959245770960798)",282,0,1
"POINT (-93.251011956112038 44.959065346781948)",283,0,1
"POINT (-93.25122588580679 44.957444801196793)",284,0,1
"POINT (-93.251247469333165 44.955647125669749)",285,0,1
"POINT (-93.251276863927245 44.952068031863298)",286,0,1
"POINT (-93.251291678614521 44.946637044271462)",287,0,1
"POINT (-93.251273257087632 44.944848443372813)",288,0,1
"POINT (-93.251263447189316 44.943009008479279)",289,0,1
"POINT (-93.24994667419061 44.959254051166418)",290,0,1
"POINT (-93.249967635602275 44.957446527289243)",291,0,1
"POINT (-93.249972825627367 44.956439980802543)",292,0,1
"POINT (-93.249990930439026 44.955650283741562)",293,0,1
"POINT (-93.250018668540093 44.952065682337384)",294,0,1
"POINT (-93.249457318897683 44.95189005017243)",295,0,1
"POINT (-93.250021264479471 44.950002163280871)",296,0,1
"POINT (-93.250016032799579 44.944849461823743)",297,0,1
"POINT (-93.248663749795327 44.959249883566336)",298,0,1
"POINT (-93.248468802959906 44.959071833480706)",299,0,1
"POINT (-93.248684756033796 44.957431768352549)",300,0,1
"POINT (-93.248695705301301 44.955714902755226)",301,0,1
"POINT (-93.270284242670741 44.958389358201273)",302,0,1
"POINT (-93.270297087931709 44.957438863093579)",303,0,1
"POINT (-93.248716891253991 44.953826044199118)",304,0,1
"POINT (-93.248727733272403 44.952066576295032)",305,0,1
"POINT (-93.270123263722454 44.950029187355064)",306,0,1
"POINT (-93.270377762127666 44.949251770151989)",307,0,1
"POINT (-93.270351639699044 44.944867916702897)",308,0,1
"POINT (-93.248753931618324 44.946642933785469)",309,0,1
"POINT (-93.248719780524254 44.942817008749721)",310,0,1
"POINT (-93.270126374158551 44.943115982522599)",311,0,1
"POINT (-93.248729146211375 44.941459160382415)",312,0,1
"POINT (-93.248706009993199 44.94120438661357)",313,0,1
"POINT (-93.270254634859086 44.937873660650105)",314,0,1
"POINT (-93.245855430675405 44.956414118894067)",315,0,1
"POINT (-93.247441634128023 44.955654959483944)",316,0,1
"POINT (-93.247185641193738 44.955471952032767)",317,0,1
"POINT (-93.247479462620106 44.952070598180327)",318,0,1
"POINT (-93.26883015196519 44.959263700074253)",319,0,1
"POINT (-93.269049774132796 44.957408799074784)",320,0,1
"POINT (-93.247509881163438 44.946648113495023)",321,0,1
"POINT (-93.247474516408516 44.943014397428875)",322,0,1
"POINT (-93.247461814325462 44.941442111078409)",323,0,1
"POINT (-93.269026630844678 44.95562439034655)",324,0,1
"POINT (-93.247457154923993 44.939634434097101)",325,0,1
"POINT (-93.247441633827535 44.937821361933089)",326,0,1
"POINT (-93.247423346190146 44.957450837848846)",327,0,1
"POINT (-93.247408808352091 44.958316228154153)",328,0,1
"POINT (-93.269070484323407 44.952049594283892)",329,0,1
"POINT (-93.245957776642669 44.955473264298568)",330,0,1
"POINT (-93.269079723276917 44.949692657207827)",331,0,1
"POINT (-93.269111887481102 44.948240893389872)",332,0,1
"POINT (-93.246006636033641 44.948291227740633)",333,0,1
"POINT (-93.26903860917227 44.943270402036532)",334,0,1
"POINT (-93.268825977658935 44.943129410817825)",335,0,1
"POINT (-93.246189607993685 44.946645959906725)",336,0,1
"POINT (-93.246162339200126 44.941451286049826)",337,0,1
"POINT (-93.246151238987309 44.939618705413501)",338,0,1
"POINT (-93.246145039497975 44.937823402789931)",339,0,1
"POINT (-93.244939221604639 44.946641255610068)",340,0,1
"POINT (-93.24491374245342 44.941448967968853)",341,0,1
"POINT (-93.244901385534448 44.939646583999973)",342,0,1
"POINT (-93.267805859106105 44.959097658342678)",343,0,1
"POINT (-93.267468874936796 44.959045610443319)",344,0,1
"POINT (-93.267779538666062 44.95741920910816)",345,0,1
"POINT (-93.26786295005239 44.957261603195043)",346,0,1
"POINT (-93.267802186334222 44.955639865558261)",347,0,1
"POINT (-93.26746094416113 44.955460115993368)",348,0,1
"POINT (-93.267808576852161 44.953853552263624)",349,0,1
"POINT (-93.2674918646983 44.953678097128055)",350,0,1
"POINT (-93.243405721817382 44.950274709251701)",351,0,1
"POINT (-93.243777953086976 44.946498877628969)",352,0,1
"POINT (-93.243664899186385 44.943040474685979)",353,0,1
"POINT (-93.243653759307904 44.941475029122564)",354,0,1
"POINT (-93.267854394244381 44.949974341509723)",355,0,1
"POINT (-93.267851740086329 44.945094459493198)",356,0,1
"POINT (-93.267738736560034 44.939676250049388)",357,0,1
"POINT (-93.267719734296065 44.937883004137596)",358,0,1
"POINT (-93.266471470938484 44.959220850153592)",359,0,1
"POINT (-93.266525103119506 44.959047350345564)",360,0,1
"POINT (-93.266493109432261 44.953825151187168)",361,0,1
"POINT (-93.266518479338842 44.952052675117841)",362,0,1
"POINT (-93.266546597709606 44.94995731322291)",363,0,1
"POINT (-93.266521370230933 44.945095920507242)",364,0,1
"POINT (-93.266456650955746 44.941491984036546)",365,0,1
"POINT (-93.242412515467336 44.946667980195357)",366,0,1
"POINT (-93.242388648437696 44.943046225783718)",367,0,1
"POINT (-93.242371357837129 44.941464328517498)",368,0,1
"POINT (-93.265245922368251 44.95926359596826)",369,0,1
"POINT (-93.264928464715226 44.959047443169787)",370,0,1
"POINT (-93.265236570513821 44.958232223178847)",371,0,1
"POINT (-93.26524589189907 44.957420892813417)",372,0,1
"POINT (-93.265357516917661 44.955456802470685)",373,0,1
"POINT (-93.265252956589691 44.954603453724339)",374,0,1
"POINT (-93.265268671870501 44.953836400703899)",375,0,1
"POINT (-93.26527125201703 44.952866316851377)",376,0,1
"POINT (-93.265309689500512 44.94997204967131)",377,0,1
"POINT (-93.26532415018724 44.949346784019085)",378,0,1
"POINT (-93.265265396924491 44.943279766525265)",379,0,1
"POINT (-93.265218294105154 44.939477428711491)",380,0,1
"POINT (-93.262362010934282 44.937697924144608)",381,0,1
"POINT (-93.266395352438096 44.937655028281263)",382,0,1
"POINT (-93.241877739753406 44.959277513923652)",383,0,1
"POINT (-93.2795610759444 44.942868428230554)",384,0,1
"POINT (-93.284345575582989 44.950655519538522)",385,0,1
"POINT (-93.279527578384844 44.948448687541266)",386,0,1
"POINT (-93.258871981877931 44.95381867957807)",387,0,1
"POINT (-93.253621308965961 44.951881358616589)",388,0,1
"POINT (-93.249950537238021 44.936048421307717)",389,0,1
"POINT (-93.260061265519766 44.936034460753078)",390,0,1
"POINT (-93.258790941189332 44.935818426782951)",391,0,1
"POINT (-93.284428584870099 44.93601001998686)",392,0,1
"POINT (-93.25752899602503 44.936076468419522)",393,0,1
"POINT (-93.256264968862411 44.936073199262957)",394,0,1
"POINT (-93.279834138149525 44.936030129399597)",395,0,1
"POINT (-93.255001666246727 44.936066037851901)",396,0,1
"POINT (-93.248687591664563 44.93604347048808)",397,0,1
"POINT (-93.272820052620816 44.936032111733894)",398,0,1
"POINT (-93.272813369196669 44.935107844148348)",399,0,1
"POINT (-93.272825446926191 44.936778105848319)",400,0,1
"POINT (-93.267698879045369 44.936086378876922)",401,0,1
"POINT (-93.266378877102454 44.936082973384067)",402,0,1
"POINT (-93.265169002717442 44.936062232128243)",403,0,1
"POINT (-93.263866162381319 44.936974447320509)",404,0,1
"POINT (-93.24369779531041 44.947599001627175)",405,0,1
"POINT (-93.244596194144009 44.956417348396918)",406,0,1
"POINT (-93.245346263038002 44.95797272471458)",407,0,1
"POINT (-93.274030628053268 44.947563123647825)",408,0,1
"POINT (-93.254948171874659 44.946641173672653)",409,0,1
"POINT (-93.276733265135377 44.946795760418837)",410,0,1
"POINT (-93.274033377544896 44.94674078941626)",411,0,1
"POINT (-93.274028618983607 44.945852170133641)",412,0,1
"POINT (-93.273979491498878 44.937856915480801)",413,0,1
"POINT (-93.270372630330712 44.946572282189919)",414,0,1
"POINT (-93.269070251827515 44.945091951382231)",415,0,1
"POINT (-93.260193287367514 44.946650154575423)",416,0,1
"POINT (-93.239168753806538 44.948224200357011)",417,0,1
"POINT (-93.236887827125031 44.948457100644049)",418,0,1
"POINT (-93.239202802203252 44.950196584897945)",419,0,1
"POINT (-93.238510335429922 44.949385257320557)",420,0,1
